ab,abk,abchazština,Abkhaz
,ach,,Acoli
,ada,,Adangme
,ady,adygejština,Adygei
aa,aar,afarština,Afar
,afh,afrihili,Afrihili (Artificial language)
af,afr,afrikánština,Afrikaans
,afa,afroasijské jazyky (jiné),Afroasiatic (Other)
,ace,,Achinese
,aka,,Akan
,akk,akkadština,Akkadian
sq,alb,albánština,Albanian
,ale,aleutština,Aleut
,alg,algonkinské jazyky (jiné),Algonquian (Other)
,ajm,,Aljamía
,tut,altajské jazyky (jiné),Altaic (Other)
am,amh,amharština,Amharic
,apa,apačské jazyky,Apache languages
ar,ara,arabština,Arabic
,arg,aragonština,Aragonese Spanish
,arc,aramejština,Aramaic
,arp,,Arapaho
,arw,,Arawak
hy,arm,arménština,Armenian
,art,umělé jazyky (jiné),Artificial (Other)
as,asm,ásámština,Assamese
,ath,,Athapascan (Other)
,aus,australské jazyky,Australian languages
,map,austronéské jazyky (jiné),Austronesian (Other)
,ava,avarština,Avaric
,ave,,Avestan
,awa,,Awadhi
ay,aym,ajmarština,Aymara
az,aze,ázerbajdžánština,Azerbaijani
,ast,,Bable
,ban,balijština,Balinese
,bat,baltské jazyky (jiné),Baltic (Other)
,bal,balúčština,Baluchi
,bam,,Bambara
,bai,,Bamileke languages
,bad,,Banda
,bnt,bantuské jazyky (jiné),Bantu (Other)
,bas,,Basa
ba,bak,baškirština,Bashkir
eu,baq,baskičtina,Basque
,btk,batačtina,Batak
,bej,,Beja
be,bel,běloruština,Belarusian
,bem,,Bemba
bn,ben,bengálština,Bengali
,ber,berberské jazyky (jiné),Berber (Other)
,bho,,Bhojpuri
dz,dzo,bhútánština (dzongkha?),Bhutani (Dzongkha?)
bh,bih,bihárština,Bihari
,bik,,Bikol
bi,bis,,Bislama
sh,bos,bosenština (srbochorvatština?),Bosnian (Serbo-Croatian?)
,bra,,Braj
br,bre,bretonština,Breton
,bug,,Bugis
bg,bul,bulharština,Bulgarian
,bua,burjatština,Buriat
my,bur,barmština,Burmese
,cad,,Caddo
,car,karibština,Carib
ca,cat,katalánština,Catalan
,cau,kavkazské jazyky (jiné),Caucasian (Other)
,ceb,,Cebuano
,cel,keltské jazyky (jiné),Celtic (Other)
,cai,středoamerické indiánské jazyky (jiné),Central American Indian (Other)
,cop,koptština,Coptic
,cor,,Cornish
co,cos,korsičtina,Corsican
,cre,krí,Cree
,mus,,Creek
,crp,,Creoles and Pidgins (Other)
,cpe,,Creoles and Pidgins, English-based (Other)
,cpf,,Creoles and Pidgins, French-based (Other)
,cpp,,Creoles and Pidgins, Portuguese-based (Other)
,crh,krymská tatarština,Crimean Tatar
hr,scr,chorvatština,Croatian
,cus,kúšitské jazyky (jiné),Cushitic (Other)
cs,cze,čeština,Czech
,dak,dakotština,Dakota
da,dan,dánština,Danish
,dar,,Dargwa
,day,dajáčtina,Dayak
,del,,Delaware
,din,,Dinka
,div,,Divehi
,doi,,Dogri
,dgr,,Dogrib
,dra,drávidské jazyky (jiné),Dravidian (Other)
,dua,,Duala
nl,dut,nizozemština (holandština),Dutch
,dum,středoholandština,Dutch, Middle (ca. 1050-1350)
,dyu,,Dyula
,bin,,Edo
,efi,,Efik
,egy,egyptština,Egyptian
,eka,,Ekajuk
,elx,elamitština,Elamite
en,eng,angličtina,English
,enm,středoangličtina,English, Middle (1100-1500)
,ang,staroangličtina,English, Old (ca. 450-1100)
,esk,eskymácké jazyky,Eskimo languages
eo,epo ,esperanto,Esperanto
et,est,estonština,Estonian
,gez ,,Ethiopic
,ewe,,Ewe
,ewo,,Ewondo
,fan,,Fang
,fat,,Fanti
fo,fao ,faerština,Faroese
fj,fij,fidžijština,Fijian
fi,fin,finština,Finnish
,fiu,ugrofinské jazyky (jiné),Finno-Ugrian (Other)
,fon,,Fon
fr,fre,francouzština,French
,frm,středofrancouzština,French, Middle (ca. 1400-1600)
,fro,starofrancouzština,French, Old (ca. 842-1400)
fy,fry,fríština,Frisian
,fur,furlandština,Friulian
,ful,,Fula
,gaa,,Gă
gl,glg,galicijština,Galician
,lug,,Ganda
,gay,,Gayo
,gba,,Gbaya
ka,geo,gruzínština,Georgian
de,ger,němčina,German
,gmh,střední hornoněmčina,German, Middle High (ca. 1050-1500)
,goh,stará hornoněmčina,German, Old High (ca. 750-1050)
